Facility ID,Latitude,Longitude,Building Count,Total Building Footprint,Building as % of Area,Footprint per building,Highway,Trunk Road,Primary Road,Secondary Road,Tertiary Road,Residential Road,Railway,Parking Lot,Residential Area,Commercial Area,Retail Area,Industrial Area,Railway Area,Cemetery,Woodland,Park,Recreation,Education,Health Care,Water,Beach
2133,40.8249628,-73.9444874,890,"326,813",0.64,367,0,0,0,3655.19,102827.69,1555.51,0,0,77410.84,0,0,0,0,0,0,91358.16,1820.21,0,0,0,0
12068,41.8540128,-87.7147815,887,"222,256",0.44,251,0,0,0,3774.84,68.02,17475.15,448.23,13964.98,5511217.29,0,0,0,0,0,0,1780.95,5369.39,36788.95,0,0,0
2319,40.6830195,-73.9847286,887,"306,936",0.6,346,0,0,0.55,9.46,0,10899.55,0,17392.93,144240.24,0,0,0,0,0,0,23795.16,17482.21,13624.68,3176.51,117072.57,0
2303,40.7410695,-73.9978777,887,"514,002",1.01,579,0,0,0,546.41,0,2791.01,0,1889.73,0,0,0,0,0,1606.49,0,5365.83,4975.44,16401.08,0,0,0
2038,40.5780706,-73.9596565,886,"340,914",0.67,385,0,0,0,1390.12,0,92587.73,0,19066.53,109439.9,0,0,0,0,0,0,8647.32,0,19872.02,0,0,987144.21
2568,40.7078639,-111.8508966,885,"175,007",0.34,198,0,0,0,11945.54,0,57077.12,0,24750.47,7779361.79,0,0,0,0,0,0,6387.4,0,0,0,0,0
1818,40.5535039,-74.1504204,885,"165,466",0.33,187,0,0,0,23960,10634.21,185843.1,0,28313.3,0,0,0,0,23414.11,0,63161.62,160440.12,151.38,0,0,7627.56,0
7712,40.7140712,-74.0888394,884,"287,853",0.57,326,0,0,0,142491.8,2555.71,18985.7,0,71413.76,0,0,0,335681.61,0,0,0,0,0,129106.47,0,0,0
6303,34.0436042,-118.210195,883,"230,611",0.45,261,0,0,273.04,267.02,38312.16,9766.96,0,0,560668.59,0,61601.41,0,0,0,0,2028.27,0,24511.04,0,0,0
2404,40.8714405,-73.8671566,883,"254,190",0.5,288,70734.52,0,0,567.43,40118.12,93903.45,0,0,62267.76,0,0,0,0,0,0,5020303.86,1058.17,0,0,0,0
5373,37.9026177,-122.2988369,882,"242,753",0.48,275,0,0,39.37,0,40403.05,185892.77,0,108660,984144.35,36077.95,438814.85,0,0,0,0,57413.31,78384.75,33361.66,0,0,0
2439,40.7413334,-73.9036487,879,"218,254",0.43,248,48803.69,0,1124.15,63377.06,2193.28,21200.95,3170.23,30658,72151.47,0,0,0,34744.23,0,0,28565.7,9813.16,0,2688.98,0,0
4830,40.0187059,-75.2056056,879,"152,419",0.3,173,0,129369.92,0,0,0,158705.31,2976.28,14754.7,15944.99,0,0,0,0,0,758758.37,983.95,29296.6,21018.41,0,0,0
2435,40.747659,-73.883697,877,"422,142",0.83,481,0,0,0,140.21,735.71,10599.81,0,16041.89,176261.71,0,59976.61,0,0,0,0,31225.21,2745.71,19124.52,58828.13,0,0
2087,40.7180554,-73.9997126,875,"472,129",0.93,540,0,3308.75,1260.85,3489.01,4796.96,87098.43,0,8101.75,0,0,0,0,0,0,0,33845.4,7285.32,0,0,604.91,0
2320,40.6845573,-73.9776154,875,"352,461",0.69,403,0,0,733.63,4411.73,147.77,8220.71,30922.74,6492.33,0,64599.36,0,0,59586.35,0,0,8048.83,7113.56,15455.7,0,0,0
1810,40.6031816,-74.0843752,873,"152,310",0.3,174,16943.68,0,17103.03,0,176792.08,69360.76,0,0,0,0,0,0,0,0,42228.86,42228.86,3047.86,0,0,112657.2,0
2341,40.6328353,-73.947639,873,"349,860",0.69,401,0,0,112.65,473.2,0,26481.17,16677.58,5544.94,13299.17,0,0,0,56507.42,0,0,132.54,27017.02,260995.96,0,461.28,0
2010,40.683666,-73.97881,873,"368,856",0.73,423,0,0,743.59,4273.68,148.12,12400.13,26792.15,10553.26,50752.66,64599.36,0,0,0,0,0,7231.26,7113.56,22829.44,0,0,0
12189,41.8710917,-87.7935608,872,"181,301",0.36,208,23798.16,0,0,0,20088.27,7573.16,251183.63,0,4045146.23,0,0,0,0,0,0,68067.48,8872.15,18510.89,0,0,0
5354,37.9372561,-122.3530529,871,"205,980",0.41,236,0,0,0,647.08,3384.32,44740.16,1537249.47,40807.95,377403.93,0,41090.43,0,0,0,0,0,0,0,0,0,0
4801,40.0513612,-75.1033938,871,"109,977",0.22,126,0,0,0,3730.02,78368.39,17849.53,669848.82,19243.24,0,0,0,0,0,0,0,1660579.72,0,0,0,2376.07,0
18450,39.8457923,-86.1460563,869,"185,146",0.36,213,0,0,0,4204.92,508.1,142747.96,0,25299.88,0,2360.45,19977.06,0,0,0,0,0,0,0,0,0,0
12049,41.9475127,-87.6536036,867,"369,011",0.73,426,0,0,0,235.3,192.06,1824.46,0,30668.29,777247.47,0,139631.61,0,0,0,0,0,1970.29,0,0,0,0
12090,41.9664678,-87.6787127,865,"314,720",0.62,364,0,0,0,80.4,4.1,12765.61,0.07,27471.73,2161862.27,3935.28,83731.69,40320.13,0,0,0,1642.02,8857.02,26546.88,0,0,0
7654,40.7001749,-74.0799232,865,"204,608",0.4,237,245835.37,0,0,17295.13,127042.11,98675.32,194219.51,5854.65,0,0,0,158163.86,0,141387.93,154881.44,65212.8,16322.78,0,0,0,0
